x,z,y,u,w,v,uu,ww,vv,vw,uv,uw,Iu,Iv,Iw,Iuv
-18.0,0.0,5.2,15.414112,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13884935263104675,0.06942466873744395,0.1110794821048374,0.06059882558356072
-18.0,0.0,5.3,15.457458,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13845998951331126,0.06922998719982675,0.110767991610649,0.060428893587384826
-18.0,0.0,5.4,15.499996,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13808000160661005,0.06903999326721502,0.11046400128528804,0.060263053268753766
-18.0,0.0,5.5,15.541753,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13770901342869427,0.06885449919850481,0.11016721074295541,0.06010114075377921
-18.0,0.0,5.6,15.582759,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13734663242770098,0.0686733087177861,0.10987730594216079,0.05994298471878249
-18.0,0.0,5.7,15.623041,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1369925018171846,0.06849624343185552,0.10959400145374766,0.05978842944939274
-18.0,0.0,5.8,15.662622,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13664630817129145,0.06832314662780342,0.10931704653703316,0.05963733815535293
-18.0,0.0,5.9,15.701527,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13630772806889732,0.06815385659508529,0.10904618245511785,0.059489569684112266
-18.0,0.0,6.0,15.739779,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1359764627306679,0.06798822394405027,0.10878117018453431,0.05934499363767879
-18.0,0.0,6.1,15.777399,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13565223726562592,0.06782611122922476,0.10852178981250073,0.059203490043794306
-18.0,0.0,6.2,15.814409,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13533477429238422,0.0676673797599303,0.10826781943390736,0.0590649378432966
-18.0,0.0,6.3,15.850826,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13502384497706615,0.06751191511924108,0.1080190759816529,0.058929237164894135
-18.0,0.0,6.4,15.886671,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13471919148967393,0.06735958839217226,0.10777535319173913,0.0587962754823506
-18.0,0.0,6.5,15.92196,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13442060353012125,0.06721029442869217,0.10753648282409699,0.05866596101318369
-18.0,0.0,6.6,15.956711,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13412785834013347,0.06706392184967563,0.10730228667210676,0.05853819653771195
-18.0,0.0,6.7,15.99094,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13384075436356146,0.06692036987705911,0.10707260349084916,0.05841289408962014
-18.0,0.0,6.8,16.024663,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1335590940403832,0.06677953973084237,0.10684727523230655,0.05828996744664585
-18.0,0.0,6.9,16.057893,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1332827085460371,0.06664134699875379,0.10662616683682967,0.058169342927709776
-18.0,0.0,7.0,16.090646,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13301140753344828,0.06650569650726637,0.10640912602675862,0.05805093745853773
-18.0,0.0,7.1,16.122934,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13274503713669294,0.06637251132342659,0.10619602970935434,0.05793468388653518
-18.0,0.0,7.2,16.154771,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13248342997758678,0.06624170775815143,0.1059867439820694,0.05782050916187362
-18.0,0.0,7.3,16.18617,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13222642988319344,0.06611320772498123,0.10578114390655474,0.0577083451250957
-18.0,0.0,7.4,16.217141,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1319739078905739,0.06598694674245352,0.1055791263124591,0.05759813549216044
-18.0,0.0,7.5,16.247698,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13172570493262795,0.06586284527702692,0.10538056394610236,0.05748981084049385
-18.0,0.0,7.6,16.277849,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13148171312944662,0.06574084938875276,0.10518537050355728,0.057383324087443635
-18.0,0.0,7.7,16.307607,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13124178627694727,0.06562088597559775,0.10499342902155781,0.0572786114243169
-18.0,0.0,7.8,16.336982,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13100580465733816,0.06550289517867251,0.1048046437258705,0.05717562060198575
-18.0,0.0,7.9,16.365982,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13077366653479452,0.06538682613007027,0.10461893322783561,0.05707430721929612
-18.0,0.0,8.0,16.394618,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1305452479943387,0.06527261687230893,0.10443619839547096,0.05697461719531801
-18.0,0.0,8.1,16.422898,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13032045090838715,0.06516021834160204,0.1042563607267097,0.05687650770366291
-18.0,0.0,8.2,16.450832,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.13009916292272936,0.06504957436085054,0.10407933033818348,0.05677992970893329
-18.0,0.0,8.3,16.478427,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12988129707905066,0.06494064145090181,0.10390503766324051,0.05668484525940918
-18.0,0.0,8.4,16.505692,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12966675208664075,0.06483336896640624,0.10373340166931258,0.056591210148200406
