x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	vw-reynolds-stress	uw-reynolds-stress	uv-reynolds-stress	pseudo_Iu	pseudo_Iv	pseudo_Iw	pseudo_Iuv	x-velocity-magnitude	h	r
1.2	0.436187	0.0	11.5607	0.0	0.0	2.8049550400000003	1.2634659216	1.7535850929	0.0	0.0	0.823933	0.14487012032143382	0.0972294065238264	0.11454583199979239	0.07851666006584612	11.6969	0.06	67
1.2	0.431252	0.0	11.5124	0.0	0.0	2.8304361121	1.27148176	1.7698311225	0.0	0.0	0.830709	0.14613720857510165	0.09794656196796497	0.11555800701851916	0.07916962485272976	11.6503	0.06	67
1.2	0.426317	0.0	11.4545	0.0	0.0	2.8647593536	1.2816051264	1.7928406609	0.0	0.0	0.838622	0.14776376096730542	0.09883277314592519	0.11689467021694532	0.07994788683877972	11.5918	0.06	67
1.2	0.421382	0.0	11.3861	0.0	0.0	2.9023211044	1.2923824489	1.8160527121	0.0	0.0	0.847654	0.14962278567727316	0.0998436690350515	0.11835571442372717	0.08086010745519395	11.5276	0.06	67
1.2	0.416447	0.0	11.3339	0.0	0.0	2.9271445921	1.2996	1.8299596176	0.0	0.0	0.855041	0.15095333468620686	0.10058320613381097	0.11935520871015273	0.08158570928281146	11.4768	0.06	67
1.2	0.411512	0.0	11.2855	0.0	0.0	2.9500123536	1.3057175823999998	1.8406620241	0.0	0.0	0.861696	0.15219175047627487	0.10125204908953966	0.12021709272960879	0.08225384972567085	11.4304	0.06	67
1.2	0.406577	0.0	11.226	0.0	0.0	2.9777988969	1.3138432129000002	1.8526476544000003	0.0	0.0	0.870375	0.15371726349545697	0.10210493497238553	0.12124710493497239	0.08310519372457457	11.3701	0.06	67
1.2	0.401642	0.0	11.1618	0.0	0.0	3.0040862329	1.3217411089	1.8625152676	0.0	0.0	0.879347	0.15528230213764807	0.10300041211990897	0.12226880969019335	0.08401288655987446	11.3102	0.06	67
1.2	0.396707	0.0	11.1068	0.0	0.0	3.0311854609	1.3288325625	1.8750920356	0.0	0.0	0.886717	0.15675352036590198	0.103787769654626	0.12328843591313429	0.08478198212980927	11.2554	0.06	67
1.2	0.391772	0.0	11.0565	0.0	0.0	3.0563780625000003	1.3348567295999998	1.8872989641	0.0	0.0	0.893174	0.15811965811965814	0.10449599782933117	0.12425179758513093	0.08547721545612912	11.2059	0.06	67
